Portfolio Company,Deal Reference,Total Commitment (USD),Capital Drawn (USD),Cumulative Distributions (USD),Reported NAV Date,Fund Vehicle,Year of Investment,General Partner,Investment Type,Deal Status,Unrealized Value (USD),MOIC
NanoTech Solutions,BTA-2021-001,8000000,7200000,3500000,03/31/2025,Beta Ventures Fund II,2021,Beta Ventures LLC,Venture Capital,Active,12000000,2.15
HealthAI Corp,BTA-2021-002,4000000,4000000,6000000,03/31/2025,Beta Ventures Fund II,2021,Beta Ventures LLC,Venture Capital,Exited,0,1.50
SmartGrid Energy,BTA-2022-003,6000000,4500000,0,03/31/2025,Beta Ventures Fund II,2022,Beta Ventures LLC,Venture Capital,Active,5800000,1.29
AgriBot Systems,BTA-2022-004,3500000,3000000,800000,03/31/2025,Beta Ventures Fund II,2022,Beta Ventures LLC,Venture Capital,Active,4200000,1.67
SpaceLink Inc,BTA-2021-005,10000000,9500000,2000000,03/31/2025,Beta Ventures Fund II,2021,Beta Ventures LLC,Venture Capital,Active,15000000,1.79
CryptoSafe Ltd,BTA-2023-006,2000000,1500000,0,03/31/2025,Beta Ventures Fund II,2023,Beta Ventures LLC,Venture Capital,Active,1800000,1.20
UrbanMobility,BTA-2022-007,5000000,4200000,1000000,03/31/2025,Beta Ventures Fund II,2022,Beta Ventures LLC,Venture Capital,Active,,1.35
CleanWater Tech,BTA-2023-008,3000000,2000000,0,03/31/2025,Beta Ventures Fund II,2023,Beta Ventures LLC,Venture Capital,Active,2500000,1.25
RoboLogistics,BTA-2021-009,7000000,6800000,4500000,03/31/2025,Beta Ventures Fund II,2021,Beta Ventures LLC,Venture Capital,Active,8000000,1.84
EdTech Global,BTA-2022-010,4500000,3800000,500000,invalid_date,Beta Ventures Fund II,2022,Beta Ventures LLC,Venture Capital,Active,4000000,1.18
QuantumCompute,BTA-2023-011,5500000,3000000,0,03/31/2025,Beta Ventures Fund II,2023,Beta Ventures LLC,Venture Capital,Active,3200000,1.07
